"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Bulgaria","Area","2018","1000 ha","4200.00",""
"Canada","Area","2021","1000 ha","559908.00",""
"Czechia","Area","2021","1000 ha","0.00",""
"Czechia","Area","2020","1000 ha","0.00",""
"Czechia","Area","2019","1000 ha","0.00",""
"Czechia","Area","2018","1000 ha","0.00",""
"Czechia","Area","2017","1000 ha","0.00",""
"Czechia","Area","2016","1000 ha","0.00",""
"Czechia","Area","2015","1000 ha","0.00",""
"Czechia","Area","2014","1000 ha","0.00",""
"Czechia","Area","2013","1000 ha","0.00",""
"Czechia","Area","2012","1000 ha","0.00",""
"Czechia","Area","2011","1000 ha","0.00",""
"Czechia","Area","2010","1000 ha","0.00",""
"Czechia","Area","2009","1000 ha","0.00",""
"Czechia","Area","2008","1000 ha","0.00",""
"Czechia","Area","2007","1000 ha","0.00",""
"Czechia","Area","2006","1000 ha","0.00",""
"Czechia","Area","2005","1000 ha","0.00",""
"Czechia","Area","2004","1000 ha","0.00",""
"Czechia","Area","2003","1000 ha","0.00",""
"Czechia","Area","2002","1000 ha","0.00",""
"Czechia","Area","2001","1000 ha","0.00",""
"Czechia","Area","2000","1000 ha","0.00",""
"Czechia","Area","1999","1000 ha","0.00",""
"Czechia","Area","1998","1000 ha","0.00",""
"Czechia","Area","1997","1000 ha","0.00",""
"Czechia","Area","1996","1000 ha","0.00",""
"Czechia","Area","1995","1000 ha","0.00",""
"Czechia","Area","1994","1000 ha","0.00",""
"Czechia","Area","1993","1000 ha","0.00",""
"Dominican Republic","Area","2019","1000 ha","32993.32",""
"Equatorial Guinea","Area","2020","1000 ha","31400.00",""
"Equatorial Guinea","Area","2019","1000 ha","31400.00",""
"Equatorial Guinea","Area","2018","1000 ha","31400.00",""
"Equatorial Guinea","Area","2017","1000 ha","31400.00",""
"Equatorial Guinea","Area","2016","1000 ha","31400.00",""
"Faroe Islands","Area","2021","1000 ha","26318.00",""
"Faroe Islands","Area","2020","1000 ha","26318.00",""
"French Polynesia","Area","2019","1000 ha","550000.00",""
"French Polynesia","Area","2018","1000 ha","550000.00",""
"Iceland","Area","2021","1000 ha","75800.00",""
"Iceland","Area","2020","1000 ha","75800.00",""
"Iceland","Area","2019","1000 ha","75800.00",""
"Iceland","Area","2018","1000 ha","75800.00",""
"Iceland","Area","2017","1000 ha","75800.00",""
"Iceland","Area","2016","1000 ha","75800.00",""
"Mauritius","Area","2021","1000 ha","225103.00",""
"Mauritius","Area","2020","1000 ha","225103.00",""
"Mauritius","Area","2019","1000 ha","225103.00",""
"Mauritius","Area","2018","1000 ha","225103.00",""
"Mauritius","Area","2017","1000 ha","225103.00",""
"Mauritius","Area","2016","1000 ha","225103.00",""
"Mauritius","Area","2015","1000 ha","225103.00",""
"Mauritius","Area","2014","1000 ha","225103.00",""
"Monaco","Area","2021","1000 ha","21.50",""
"Monaco","Area","2020","1000 ha","21.50",""
"Monaco","Area","2019","1000 ha","21.50",""
"Monaco","Area","2018","1000 ha","21.50",""
"Monaco","Area","2017","1000 ha","21.50",""
"Monaco","Area","2016","1000 ha","21.50",""
"Monaco","Area","2015","1000 ha","21.50",""
"Monaco","Area","2014","1000 ha","21.50",""
"Monaco","Area","2013","1000 ha","21.50",""
"Myanmar","Area","2019","1000 ha","49928.40",""
"Norway","Area","2021","1000 ha","78764.00",""
"Norway","Area","2020","1000 ha","78764.00",""
"Norway","Area","2019","1000 ha","78764.00",""
"Norway","Area","2018","1000 ha","78764.00",""
"Norway","Area","2017","1000 ha","78764.00",""
"Norway","Area","2016","1000 ha","78764.00",""
"Norway","Area","2015","1000 ha","78764.00",""
"Norway","Area","2014","1000 ha","78764.00",""
"Norway","Area","2013","1000 ha","78764.00",""
"Panama","Area","2020","1000 ha","31.98",""
"Portugal","Area","2021","1000 ha","166046.00",""
"Portugal","Area","2020","1000 ha","166046.00",""
"Portugal","Area","2019","1000 ha","166046.00",""
"Portugal","Area","2018","1000 ha","166046.00",""
"Portugal","Area","2017","1000 ha","166046.00",""
"Slovenia","Area","2018","1000 ha","0.00",""
"Slovenia","Area","2017","1000 ha","0.00",""
"Slovenia","Area","2016","1000 ha","0.00",""
"Slovenia","Area","2015","1000 ha","0.00",""
"Slovenia","Area","2014","1000 ha","0.00",""
"Slovenia","Area","2013","1000 ha","0.00",""

