Country,EEZ,Land
 United States,11351000,2193526
 France,10186624,725297
 Australia,9025053,2194008
 Russia,7566673,3817843
 United Kingdom,6805586,872891
 Indonesia,6159032,2039381
 Canada,5599077,2644795
 Japan,4479388,214976
 New Zealand,"4,420,565","272,898"
 Brazil,3830955,774563
 Chile,3681989,252947
 Kiribati,3441810,7523
 Mexico,3269386,419102
 Federated States of Micronesia,2996419,19403
 Denmark,2551238,495657
 Papua New Guinea,2402288,191256
 Norway,2385178,434020
 India,2305143,402996
 Marshall Islands,1990530,18411
 Cook Islands,1960027,1213
 Portugal,1727408,28000
 Philippines,1590780,272921
 Solomon Islands,1589477,36282
 South Africa,1535538,156337
 Seychelles,1336559,39063
 Mauritius,1284997,29061
 Fiji,1282978,47705
 Madagascar,1225259,101505
 Argentina,1159063,856346
 Ecuador,1077231,41034
 Spain,1039233,77920
 Maldives,923322,34538
 Peru,906454,82000
 China,877019,231340
 Somalia,825052,55895
 Colombia,808158,53691
 Cape Verde,800561,5591
 Iceland,751345,108015
 Tuvalu,749790,3575
 Vanuatu,663251,11483
 Tonga,659558,8517
 Bahamas,654715,106323
 Palau,603978,2837
 Mozambique,578986,94212
 Morocco,575230,115157
 Costa Rica,574725,19585
 Namibia,564748,86698
 Yemen,552669,59229
 Italy,541915,116834
 Oman,533180,59071
 Myanmar,532775,220332
 Sri Lanka,532619,32453
 Angola,518433,48092
 Greece,505572,81451
 South Korea,475469,342522
 Venezuela,471507,98500
 Vietnam,417663,365198
 Ireland,410310,139935
 Libya,351589,64763
 Cuba,350751,61525
 Panama,335646,53404
 Malaysia,334671,323412
 Niue,316584,284
 Nauru,308480,41
 Equatorial Guinea,303509,7820
 Thailand,299397,230063
 Pakistan,290000,51383
 Egypt,263451,61591
 Turkey,261654,56093
 Jamaica,258137,9802
 Dominican Republic,255898,10738
 Liberia,249734,17715
 Honduras,249542,68718
 Tanzania,241888,25611
 Ghana,235349,22502
 Saudi Arabia,228633,107249
 Nigeria,217313,42285
 Sierra Leone,215611,28625
 Gabon,202790,35020
 Barbados,186898,426
 Côte d'Ivoire,176254,10175
 Iran,168718,118693
 Mauritania,165338,31662
 Comoros,163752,1526
 Sweden,160885,154604
 Senegal,158861,23092
 Netherlands,154011,77246
 Ukraine,147318,79142
 Uruguay,142166,75327
 Guyana,137765,50578
 São Tomé and Príncipe,131397,1902
 Samoa,127950,2087
 Suriname,127772,53631
 Haiti,126760,6683
 Algeria,126353,9985
 Nicaragua,123881,70874
 Guinea-Bissau,123725,39339
 Bangladesh,118813,66438
 Kenya,116942,11073
 Guatemala,114170,14422
 North Korea,"113,888","50,337"
 Antigua and Barbuda,110089,4128
 Tunisia,101857,67126
 Cyprus,98707,4042
 El Salvador,90962,16852
 Finland,87171,85109
 Republic of China (Taiwan),83231,43016
 Eritrea,77728,61817
 Trinidad and Tobago,74199,25284
 East Timor,70326,25648
 Sudan,68148,19827
 Cambodia,62515,62515
 Guinea,59426,44755
 Croatia,59032,50277
 United Arab Emirates,58218,57474
 Germany,57485,57485
 Malta,54823,5301
 Estonia,36992,36992
 Saint Vincent and the Grenadines,36302,1561
 Belize,35351,13178
 Bulgaria,34307,10426
 Benin,33221,2721
 Qatar,31590,31590
 Republic of the Congo,31017,7982
 Poland,29797,29797
 Dominica,28985,659
 Latvia,28452,27772
 Grenada,27426,2237
 Israel,26352,3745
 Romania,23627,19303
 Gambia,23112,5581
 Georgia,21946,3243
 Lebanon,19516,1067
 Cameroon,16547,11420
 Saint Lucia,15617,544
 Albania,13691,6979
 Togo,12045,1265
 Kuwait,11026,11026
 Syria,10503,1085
 Bahrain,10225,10225
 Brunei,10090,8509
 Saint Kitts and Nevis,9974,653
 Montenegro,7745,3896
 Djibouti,7459,3187
 Lithuania,7031,7031
 Belgium,3447,3447
 Democratic Republic of the Congo,1606,1593
 Singapore,1067,1067
 Iraq,771,771
 Monaco,288,2
 Palestine,256,256
 Slovenia,220,220
 Jordan,166,59
 Bosnia and Herzegovina,50,50
