Name;Location;"Number of Islands (approx.)";"Island Details";"Type of Islands";"Surface Area (km&sup2;)";Terrain;"Highest Elevation (m)";"Highest Elevation (name)";"Isolation Index";"Climate Risk Index Rank (1993-2012)";"Mean Sea Level Trends (mm/year)";"Mean Sea Level (meta)";"Population (total)";"Census Year [Population (total)]";"Population Density (p/km²)";"Census Year [Population Density (p/km²)]";"Population Growth (annual %)";"Census Year [Population Growth (annual %)]";"GDP (per capita in current US$)";"Census Year (GDP)";"Dominant Economic Sectors";HDI;"Census Year (HDI)";Administration;Miscellaneous;
"American Samoa";Pacific;7;;"oceanic, coral, volcanic";200.00;"five volcanic islands with rugged peaks and limited coastal plains, two coral atolls (Rose Island, Swains Island)";964.0;"Lata Mountain";31;95;2.07;"Time span: 1948-2006; Completeness: ??%; Station ID: 539";68,420;2010;342.1;2010;1.633;2010;8,000;2007;"fish processing, fishing";0.000;2010;"dependent (territory of the US)";"Pago Pago has one of the best natural deepwater harbors in the South Pacific Ocean, sheltered by shape from rough seas and protected by peripheral mountains from high winds; strategic location in the South Pacific Ocean"
Amrum;"North Sea";1;"Belongs to the German island group Nordfriesische Inseln";continental;19.90;"flat, partly forested moraine in the east, sand dunes and beaches at the west coast";32.0;"A Siatler";11;32;0.00;;2,241;2010;110.0;2010;0.000;;;;;0.000;;"dependent (autonomous parliamentary democracy, but part of the Kingdom of the Netherlands)";"located in the German Wadden Sea"
Anguilla;Caribbean;1;" main island+ approx. 21 uninhabited islands";"oceanic, coral";91.00;"flat and low-lying island of coral and limestone";65.0;"Crocus Hill";48;65;0.00;;14,764;2010;144.7;2010;2.146;2012;12,200;2008;"offshore banking, tourism";0.000;2010;"dependent (territory of the UK)";"Frequent hurricanes and other tropical storms (July to October)"
"Antigua and Barbuda";Caribbean;2;"2 main islands + approx. 35 smaller islands";"oceanic, coral, volcanic";440.00;"mostly low-lying limestone and coral islands, with some higher volcanic areas";402.0;"Boggy Peak";41;43;0.00;;88,710;2010;201.6;2010;1.029;2010;13,006;2010;tourism;0.761;2010;"independent (constitutional monarchy with a parliamentary system of government and a Commonwealth realm)";"1. Antigua has a deeply indented shoreline with many natural harbors and beaches; Barbuda has a large western harbor. 2. water management - a major concern because of limited natural freshwater resources - is further hampered by the clearing of trees to increase crop production, causing rainfall to run off quickly"
Aruba;Caribbean;1;-;"continental, volcanic";180.00;"flat with a few hills; scant vegetation";188.0;"Ceru Jamanota";18;70;0.00;;107,488;2010;597.2;2010;0.818;2010;25,300;2011;"offshore banking, tourism";0.000;2010;"dependent (autonomous parliamentary democracy, but part of the Kingdom of the Netherlands)";"Unlike much of the Caribbean region, Aruba has a dry climate and an arid, cactus-strewn landscape"
Bahamas;Atlantic;700;" 30 inhabitated islands + approx. 670 uninhabitated islands (+ approx. 2000 coral reefs)";coral;13,880.00;"long, flat coral formations with some low rounded hills";63.0;" Mount Alvernia on Cat Island";39;36;0.00;;342,877;2010;34.3;2010;1.327;2010;22,665;2010;"offshore banking, tourism";0.791;2010;"independent (constitutional parliamentary democracy and a Commonwealth realm)";"strategic location adjacent to US and Cuba; extensive island chain of which 30 are inhabited"
Bahrain;"Indian Ocean";33;-;"continental, volcanic";760.00;"mostly low desert plain rising gently to low central escarpment";122.0;"Jabal ad Dukhan";13;129;0.00;;1,261,835;2010;1,660.3;2010;7.592;2010;18,184;2010;oil;0.794;2010;"independent (constitutional monarchy)";"Desertification resulting from the degradation of limited arable land, periods of drought, and dust storms; coastal degradation (damage to coastlines, coral reefs, and sea vegetation) resulting from oil spills and other discharges from large tankers, oil refineries, and distribution stations; lack of freshwater resources (groundwater and seawater are the only sources for all water needs)"
Barbados;Caribbean;1;"main island + 1 uninhabited island";"oceanic, volcanic";430.00;"relatively flat; rises gently to central highland region";336.0;" Mount Hillaby";46;154;0.00;;273,331;2010;635.7;2010;0.213;2010;15,035;2010;tourism;0.823;2010;"independent (parliamentary democracy and a Commonwealth realm)";"Barbados is the wealthiest and most developed country in the Eastern Caribbean and enjoys one of the highest per capita incomes in Latin America"
Belize;Caribbean;30;"mainland area + several hundred islands and reefs";"continental, coral";22,970.00;"flat, swampy coastal plain; low mountains in south";1,160.0;"Doyle's Delight";;22;0.00;;344,700;2010;15.1;2010;3.393;2010;4,057;2010;tourism;0.700;2010;"independent (constitutional parliamentary democracy and a Commonwealth realm)";"Only country in Central America without a coastline on the North Pacific Ocean"
Bermuda;Atlantic;138;"main island (Grand Bermuda) + 19 other inhabited islands";"oceanic, coral";50.00;"low hills separated by fertile depressions";76.0;"Town Hill";91;;2.04;"Time span: 1932-2006; Completeness: ??%; Station ID: 2695540";65,124;2010;1,302.5;2010;-0.780;2010;88,207;2010;"offshore banking, tourism";0.981;2008;"dependent (overseas territory of the UK)";"Bermuda was first settled in 1609 by shipwrecked English colonists headed for Virginia. Vacationing to the island to escape North American winters first developed in Victorian times. Tourism continues to be important to the island's economy, although international business has overtaken it in recent years. Bermuda has also developed into a highly successful offshore financial center. A referendum on independence from the UK was soundly defeated in 1995."
