NP_EJERCICIO;MU_CODINE;MU_NOMBRE;PR_CODPR;NP_MUNICIPIO;NP_ENT;NP_POBLAMIENTO;NP_DENOMINACION;TOTAL;NP_VARONES;NP_MUJERES;NP_XLON;NP_YLAT
2022;03001;Atzúbia (L');3;0;1;1;ATZÚBIA (L´);363;190;173;-0.149632;38.8476
2022;03001;Atzúbia (L');3;0;1;2;BASSETES (LES);86;43;43;-0.16095;38.8487
2022;03001;Atzúbia (L');3;0;1;3;PINOS;51;23;28;-0.160361;38.8527
2022;03001;Atzúbia (L');3;0;2;1;FORNA;92;52;40;-0.171304;38.8753
2022;03002;Agost;3;0;1;1;AGOST;4022;2001;2021;-0.639506;38.4375
2022;03002;Agost;3;0;1;2;LOMAS (LAS);69;32;37;-0.612103;38.4166
2022;03002;Agost;3;0;1;3;MURTA (LA);45;26;19;-0.597649;38.4502
2022;03002;Agost;3;0;1;4;VENTÓS (EL);68;38;30;-0.626969;38.4552
2022;03003;Agres;3;0;1;1;AGRES;443;233;210;-0.516363;38.7817
2022;03004;Aigües;3;0;1;1;AIGÜES;663;338;325;-0.362097;38.5059
2022;03004;Aigües;3;0;1;2;URBANIZACIÓN SIERRA MARINA;150;73;77;-0.364247;38.5095
2022;03004;Aigües;3;0;1;3;RESIDENCIAL BALNEARIO DE AIGÜES;78;41;37;-0.368584;38.4919
2022;03005;Albatera;3;0;1;1;ALBATERA;11935;6040;5895;-0.870346;38.1796
2022;03006;Alcalalí;3;0;1;1;ALCALALÍ;366;180;186;-0.0402711;38.7501
2022;03006;Alcalalí;3;0;1;2;ALDEA DE LAS CUEVAS;18;8;10;-0.0088235;38.7823
2022;03006;Alcalalí;3;0;1;3;SOLANA (LA);592;298;294;-0.0396162;38.7561
2022;03006;Alcalalí;3;0;1;4;VEREDA (LA);31;16;15;-0.048989;38.7557
2022;03006;Alcalalí;3;0;2;1;LLOSA DE CAMACHO;143;69;74;-0.00771982;38.7715
2022;03007;Alcocer de Planes;3;0;1;1;ALCOSSER;140;66;74;-0.405751;38.7953
2022;03008;Alcoleja;3;0;1;1;ALCOLEJA;172;90;82;-0.331621;38.6752
2022;03009;Alcoi/Alcoy;3;0;1;1;ALCOY/ALCOI;57161;28004;29157;-0.477875;38.697
2022;03009;Alcoi/Alcoy;3;0;1;2;BARADELLO-SARGENTO;722;380;342;-0.52187;38.7045
2022;03009;Alcoi/Alcoy;3;0;1;3;CASES DEL SALT;4;2;2;-0.509535;38.6879
2022;03009;Alcoi/Alcoy;3;0;1;4;ESTEPAR (L´);116;58;58;-0.454006;38.6531
2022;03009;Alcoi/Alcoy;3;0;1;5;FONT ROJA;1;1;0;-0.540666;38.6652
2022;03009;Alcoi/Alcoy;3;0;1;6;MONTESOL;152;73;79;-0.575468;38.6874
2022;03009;Alcoi/Alcoy;3;0;1;7;SOL I CAMP;240;120;120;-0.471853;38.7121
2022;03010;Alfafara;3;0;1;1;ALFAFARA;382;179;203;-0.5549;38.7735
2022;03011;Alfàs del Pi (l');3;0;1;1;ALBIR (L´);4775;2364;2411;-0.0730361;38.566
2022;03011;Alfàs del Pi (l');3;0;1;2;ALFÀS DEL PI (L´);5359;2665;2694;-0.099395;38.5796
2022;03011;Alfàs del Pi (l');3;0;1;3;BARRANC FONDO;157;76;81;-0.115277;38.5765
2022;03011;Alfàs del Pi (l');3;0;1;4;CAPTIVADOR (EL);409;219;190;-0.11095;38.5998
2022;03011;Alfàs del Pi (l');3;0;1;5;DEVESA;146;65;81;-0.10112;38.5847
2022;03011;Alfàs del Pi (l');3;0;1;6;ENTRE NARANJOS Y FLORES;232;134;98;-0.0964499;38.5952
2022;03011;Alfàs del Pi (l');3;0;1;7;ESCANDINÀVIA;501;261;240;-0.112836;38.5884
2022;03011;Alfàs del Pi (l');3;0;1;8;ESTRADA (LA);116;65;51;-0.080044;38.5755
2022;03011;Alfàs del Pi (l');3;0;1;9;FOIA BLANCA;339;171;168;-0.084838;38.5923
2022;03011;Alfàs del Pi (l');3;0;1;10;JARDÍN DE ALFAZ;456;214;242;-0.0909027;38.5743
2022;03011;Alfàs del Pi (l');3;0;1;11;ROMERAL;299;155;144;-0.111915;38.5718
2022;03011;Alfàs del Pi (l');3;0;1;12;TOSSALET (EL);270;139;131;-0.0836114;38.5804
2022;03011;Alfàs del Pi (l');3;0;1;13;BELMONTE OASIS;667;355;312;-0.116184;38.5944
2022;03011;Alfàs del Pi (l');3;0;1;14;CAPITANA (LA);216;95;121;-0.109461;38.5913
2022;03011;Alfàs del Pi (l');3;0;1;15;FOIA L´OM;568;277;291;-0.105604;38.5901
2022;03011;Alfàs del Pi (l');3;0;1;16;RESIDENCE PARK;124;57;67;-0.112554;38.6026
2022;03011;Alfàs del Pi (l');3;0;1;17;SANT RAFEL;975;489;486;-0.114559;38.5855
2022;03011;Alfàs del Pi (l');3;0;1;18;ARABÍ;515;260;255;-0.0941464;38.5752
2022;03011;Alfàs del Pi (l');3;0;1;19;PLA PARCIAL PLATJA;2890;1356;1534;-0.0673936;38.5769
2022;03012;Algorfa;3;0;1;1;ALGORFA;1693;856;837;-0.796633;38.0848
2022;03012;Algorfa;3;0;1;2;CASTILLO DE MONTEMAR;392;201;191;-0.78082;38.0659
2022;03012;Algorfa;3;0;1;3;MONTEBELLO;199;96;103;-0.749664;38.0654
2022;03012;Algorfa;3;0;1;4;RELLANA (LA);498;251;247;-0.791622;38.0622
2022;03012;Algorfa;3;0;1;5;CRISPÍN (LO);691;356;335;-0.738672;38.0504
2022;03013;Algueña;3;0;1;1;ALGUEÑA;1268;635;633;-1.00143;38.3395
2022;03013;Algueña;3;0;2;1;SOLANA (LA);76;41;35;-1.04086;38.3483
2022;03014;Alicante/Alacant;3;0;1;1;ALCORAYA (LA);39;20;19;-0.631779;38.3708
2022;03014;Alicante/Alacant;3;0;2;1;ALICANTE/ALACANT;326198;157175;169023;-0.482786;38.3577
2022;03014;Alicante/Alacant;3;0;2;2;TANGEL;47;24;23;-0.470512;38.4093
2022;03014;Alicante/Alacant;3;0;2;3;URBANOVA;784;381;403;-0.521577;38.2833
2022;03014;Alicante/Alacant;3;0;2;4;VILLAFRANQUEZA - PALAMO;3229;1598;1631;-0.485903;38.3928
2022;03014;Alicante/Alacant;3;0;3;1;BACAROT (EL);165;82;83;-0.557109;38.3193
2022;03014;Alicante/Alacant;3;0;3;2;PICAPIEDRA (LOS);16;8;8;-0.571217;38.3106
2022;03014;Alicante/Alacant;3;0;4;1;ALABASTRO (EL);202;103;99;-0.602387;38.3968
2022;03014;Alicante/Alacant;3;0;4;2;BARRIO DE GRANADA;89;47;42;-0.532415;38.3877
2022;03014;Alicante/Alacant;3;0;4;3;CAÑADA (LA);7;3;4;-0.57781;38.3957
2022;03014;Alicante/Alacant;3;0;4;4;ERMITA SAN JAIME;286;147;139;-0.561708;38.3927
2022;03014;Alicante/Alacant;3;0;4;5;PINTAT (EL);131;70;61;-0.572354;38.4046
2022;03014;Alicante/Alacant;3;0;4;6;RAMBLA DEL PEPIOR;59;26;33;-0.577312;38.4015
2022;03014;Alicante/Alacant;3;0;4;7;RAMBLA DEL ROLLET;135;65;70;-0.586555;38.3971
2022;03014;Alicante/Alacant;3;0;5;1;PLA (EL);183;102;81;-0.583338;38.39
2022;03014;Alicante/Alacant;3;0;5;2;SERRETA (LA);173;80;93;-0.548458;38.3581
2022;03014;Alicante/Alacant;3;0;5;3;YESERAS;14;7;7;-0.58626;38.3939
2022;03014;Alicante/Alacant;3;0;5;4;CAMPANETA (LA);48;28;20;-0.557851;38.3715
2022;03014;Alicante/Alacant;3;0;6;1;TABARCA;51;26;25;-0.472114;38.1642
2022;03014;Alicante/Alacant;3;0;7;1;BOTER (EL);54;26;28;-0.507632;38.4581
2022;03014;Alicante/Alacant;3;0;7;3;LLOFRIU;21;11;10;-0.505186;38.4672
2022;03014;Alicante/Alacant;3;0;7;4;PORTELL;66;38;28;-0.486866;38.4572
2022;03014;Alicante/Alacant;3;0;7;5;VALLE DEL SOL;68;36;32;-0.51226;38.4582
2022;03014;Alicante/Alacant;3;0;8;1;CAMINO CAÑADA - ALCOY;100;52;48;-0.573883;38.455
2022;03014;Alicante/Alacant;3;0;8;2;CAMINO DE LA ERMITA;176;95;81;-0.574429;38.417
2022;03014;Alicante/Alacant;3;0;8;3;CAMINO VENTORRILLO;183;98;85;-0.552484;38.4215
2022;03014;Alicante/Alacant;3;0;8;4;FINCA DON JAIME;151;74;77;-0.571959;38.4294
2022;03014;Alicante/Alacant;3;0;8;5;GARROFERAL;99;52;47;-0.5687;38.4191
2022;03014;Alicante/Alacant;3;0;8;6;LOMA ESPÍ;382;202;180;-0.566831;38.4432
2022;03014;Alicante/Alacant;3;0;8;7;PLA DE XIRAU;10;5;5;-0.594205;38.4666
2022;03014;Alicante/Alacant;3;0;8;8;RAMBUCHAR NORTE;90;50;40;-0.571698;38.4574
